Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,1,3,1218,3,9,4,2,1,27,3,2,82,2,1,9,1,3,3407,6986,7,Y,1,23,4,2,80,0,10,4,3,5,3,0,3
34,0,3,419,2,7,4,2,1,28,1,1,53,3,3,6,2,3,11994,21293,0,Y,1,11,3,3,80,0,13,4,3,12,6,2,11
21,0,3,391,2,15,2,2,1,30,3,2,96,3,1,7,4,3,1232,19281,1,Y,1,14,3,4,80,0,0,6,3,0,0,0,0
34,1,3,699,2,6,1,4,1,31,2,2,83,3,1,7,1,3,2960,17102,2,Y,1,11,3,3,80,0,8,2,3,4,2,1,3
53,0,3,1282,2,5,3,5,1,32,3,1,58,3,5,4,3,1,19094,10735,4,Y,1,11,3,4,80,1,26,3,2,14,13,4,8
32,1,2,1125,2,16,1,2,1,33,2,1,72,1,1,7,1,3,3919,4681,1,Y,2,22,4,2,80,0,10,5,3,10,2,6,7
42,0,3,691,3,8,4,3,1,35,3,2,48,3,2,8,2,2,6825,21173,0,Y,1,11,3,4,80,1,10,2,3,9,7,4,2
44,0,3,477,2,7,4,4,1,36,1,1,42,2,3,1,4,2,10248,2094,3,Y,1,14,3,4,80,1,24,4,3,22,6,5,17
46,0,3,705,3,2,4,3,1,38,2,1,83,3,5,4,1,3,18947,22822,3,Y,1,12,3,4,80,0,22,2,2,2,2,2,1
33,0,3,924,2,2,3,4,1,39,3,2,78,3,1,3,4,3,2496,6670,4,Y,1,11,3,4,80,0,7,3,3,1,1,0,0
44,0,3,1459,2,10,4,5,1,40,4,2,41,3,2,1,4,2,6465,19121,2,Y,2,13,3,4,80,0,9,5,4,4,2,1,3
30,0,3,125,2,9,2,4,1,41,4,2,83,2,1,3,3,3,2206,16117,1,Y,1,13,3,1,80,0,10,5,3,10,0,1,8
39,1,3,895,3,5,3,6,1,42,4,2,56,3,2,9,4,2,2086,3335,3,Y,1,14,3,3,80,1,19,6,4,1,0,0,0
24,1,3,813,2,1,3,4,1,45,2,2,61,3,1,7,4,2,2293,3020,2,Y,2,16,3,1,80,1,6,2,2,2,0,2,0
43,0,3,1273,2,2,2,4,1,46,4,1,72,4,1,7,3,1,2645,21923,1,Y,1,12,3,4,80,2,6,3,2,5,3,1,4
50,1,3,869,3,3,2,3,1,47,1,2,86,2,1,9,3,2,2683,3810,1,Y,2,14,3,3,80,0,3,2,3,3,2,0,2
35,0,3,890,3,2,3,3,1,49,4,1,97,3,1,9,4,2,2014,9687,1,Y,1,13,3,1,80,0,2,3,3,2,2,2,2
36,0,3,852,2,5,4,2,1,51,2,1,82,2,1,7,1,2,3419,13072,9,Y,2,14,3,4,80,1,6,3,4,1,1,0,0
33,0,2,1141,3,1,3,2,1,52,3,1,42,4,2,8,1,2,5376,3193,2,Y,1,19,3,1,80,2,10,3,3,5,3,1,3
35,0,3,464,2,4,2,5,1,53,3,2,75,3,1,3,4,1,1951,10910,1,Y,1,12,3,3,80,1,1,3,3,1,0,0,0
27,0,3,1240,2,2,4,2,1,54,4,1,33,3,1,3,1,1,2341,19715,1,Y,1,13,3,4,80,1,1,6,3,1,0,0,0
26,1,3,1357,2,25,3,2,1,55,1,2,48,1,1,3,3,3,2293,10558,1,Y,1,12,3,3,80,0,1,2,2,1,0,0,1
27,0,2,994,3,8,3,2,1,56,4,2,37,3,3,8,3,3,8726,2975,1,Y,1,15,3,4,80,0,9,0,3,9,8,1,7
30,0,2,721,2,1,2,4,1,57,3,1,58,3,2,3,4,3,4011,10781,1,Y,1,23,4,4,80,0,12,2,3,12,8,3,7
41,1,3,1360,2,12,3,6,1,58,2,1,49,3,5,6,3,2,19545,16280,1,Y,1,12,3,4,80,0,23,0,3,22,15,15,8
34,0,1,1065,3,23,4,3,1,60,2,2,72,3,2,8,3,3,4568,10034,0,Y,1,20,4,3,80,0,10,2,3,9,5,8,7
37,0,3,408,2,19,2,2,1,61,2,2,73,3,1,7,2,2,3022,10227,4,Y,1,21,4,1,80,0,8,1,3,1,0,0,0
46,0,2,1211,3,5,4,3,1,62,1,2,98,3,2,8,4,3,5772,20445,4,Y,2,21,4,3,80,0,14,4,3,9,6,0,8
35,0,3,1229,2,8,1,2,1,63,4,2,36,4,1,3,4,2,2269,4892,1,Y,1,19,3,4,80,0,1,2,3,1,0,0,1
48,1,3,626,2,1,2,2,1,64,1,2,98,2,3,3,3,3,5381,19294,9,Y,2,13,3,4,80,0,23,2,3,1,0,0,0
28,1,3,1434,2,5,4,6,1,65,3,2,50,3,1,3,3,3,3441,11179,1,Y,2,13,3,3,80,0,2,3,2,2,2,2,2
44,0,3,1488,3,1,5,3,1,68,2,1,75,3,2,8,1,1,5454,4009,5,Y,2,21,4,3,80,1,9,2,2,4,3,1,3
35,0,1,1097,2,11,2,4,1,70,3,2,79,2,3,1,1,2,9884,8302,2,Y,2,13,3,3,80,1,10,3,3,4,0,2,3
26,0,3,1443,3,23,3,3,1,72,3,1,47,2,2,8,4,2,4157,21436,7,Y,2,19,3,3,80,1,5,2,2,2,2,0,0
33,0,2,515,2,1,2,2,1,73,1,1,98,3,3,6,4,3,13458,15146,1,Y,2,12,3,3,80,0,15,1,3,15,14,8,12
35,0,2,853,3,18,5,2,1,74,2,2,71,3,3,8,1,2,9069,11031,1,Y,1,22,4,4,80,1,9,3,2,9,8,1,8
35,0,3,1142,2,23,4,4,1,75,3,1,30,3,1,3,1,2,4014,16002,3,Y,2,15,3,3,80,1,4,3,3,2,2,2,2
31,0,3,655,2,7,4,2,1,76,4,2,48,3,2,3,4,1,5915,9528,3,Y,1,22,4,4,80,1,10,3,2,7,7,1,7
37,0,3,1115,2,1,4,2,1,77,1,2,51,2,2,5,3,1,5993,2689,1,Y,1,18,3,3,80,1,7,2,4,7,5,0,7
32,0,3,427,2,1,3,4,1,78,1,2,33,3,2,5,4,2,6162,10877,1,Y,2,22,4,2,80,1,9,3,3,9,8,7,8
38,0,2,653,2,29,5,2,1,79,4,1,50,3,2,3,4,3,2406,5456,1,Y,1,11,3,4,80,0,10,2,3,10,3,9,9
50,0,3,989,2,7,2,4,1,80,2,1,43,2,5,6,3,1,18740,16701,5,Y,2,12,3,4,80,1,29,2,2,27,3,13,8
59,0,3,1435,3,25,3,2,1,81,1,1,99,3,3,8,1,3,7637,2354,7,Y,1,11,3,4,80,0,28,3,2,21,16,7,9
36,0,3,1223,2,8,3,6,1,83,3,1,59,3,3,1,3,1,10096,8202,1,Y,1,13,3,2,80,3,17,2,3,17,14,12,8
55,0,3,836,2,8,3,4,1,84,4,1,33,3,4,4,3,1,14756,19730,2,Y,2,14,3,3,80,3,21,2,3,5,0,0,2
36,0,2,1195,2,11,3,2,1,85,2,2,95,2,2,5,2,3,6499,22656,1,Y,1,13,3,3,80,0,6,3,3,6,5,0,3
45,0,3,1339,2,7,3,2,1,86,2,2,59,3,3,7,1,1,9724,18787,2,Y,1,17,3,3,80,1,25,2,3,1,0,0,0
35,0,2,664,2,1,3,4,1,88,2,2,79,3,1,7,1,2,2194,5868,4,Y,1,13,3,4,80,1,5,2,2,3,2,1,2
36,1,3,318,2,9,3,4,1,90,4,2,79,2,1,7,3,2,3388,21777,0,Y,2,17,3,1,80,1,2,0,2,1,0,0,0
59,0,2,1225,3,1,1,2,1,91,1,1,57,2,2,8,3,3,5473,24668,7,Y,1,11,3,4,80,0,20,2,2,4,3,1,3
29,0,3,1328,2,2,3,2,1,94,3,2,76,3,1,7,2,2,2703,4956,0,Y,1,23,4,4,80,1,6,3,3,5,4,0,4
31,0,3,1082,2,1,4,4,1,95,3,2,87,3,1,7,2,3,2501,18775,1,Y,1,17,3,2,80,0,1,4,3,1,1,1,0
32,0,3,548,2,1,3,2,1,96,2,2,66,3,2,7,2,2,6220,7346,1,Y,1,17,3,2,80,2,10,3,3,10,4,0,9
36,0,3,132,2,6,3,2,1,97,2,1,55,4,1,3,4,2,3038,22002,3,Y,1,12,3,2,80,0,5,3,3,1,0,0,0
31,0,3,746,2,8,4,2,1,98,3,1,61,3,2,5,4,3,4424,20682,1,Y,1,23,4,4,80,0,11,2,3,11,7,1,8
35,0,3,776,3,1,4,3,1,100,3,2,32,2,2,8,1,3,4312,23016,0,Y,1,14,3,2,80,0,16,2,3,15,13,2,8
45,0,3,193,2,6,4,5,1,101,4,2,52,3,3,6,1,2,13245,15067,4,Y,2,14,3,2,80,0,17,3,4,0,0,0,0
37,0,3,397,2,7,4,4,1,102,1,2,30,3,3,6,3,3,13664,25258,4,Y,1,13,3,1,80,0,16,3,4,5,2,0,2
46,0,3,945,1,5,2,4,1,103,2,2,80,3,2,2,2,1,5021,10425,8,Y,2,22,4,4,80,1,16,2,3,4,2,0,2
30,0,3,852,2,1,1,2,1,104,4,2,55,2,2,3,4,2,5126,15998,1,Y,2,12,3,3,80,2,10,1,2,10,8,3,0
35,0,3,1214,2,1,3,4,1,105,2,2,30,2,1,7,3,3,2859,26278,1,Y,1,18,3,1,80,0,6,3,3,6,4,0,4
55,0,3,111,3,1,2,2,1,106,1,2,70,3,3,8,4,2,10239,18092,3,Y,1,14,3,4,80,1,24,4,3,1,0,1,0
38,0,1,573,2,6,3,4,1,107,2,1,79,1,2,7,4,1,5329,15717,7,Y,2,12,3,4,80,3,17,3,3,13,11,1,9
34,0,3,1153,2,1,2,4,1,110,1,2,94,3,2,5,2,2,4325,17736,1,Y,1,15,3,3,80,0,5,2,3,5,2,1,3
56,0,3,1400,2,7,3,2,1,112,4,2,49,1,3,5,4,3,7260,21698,4,Y,1,11,3,1,80,0,37,3,2,6,4,0,2
23,0,3,541,3,2,1,6,1,113,3,2,62,3,1,9,1,1,2322,9518,3,Y,1,13,3,3,80,1,3,3,3,0,0,0,0
51,0,3,432,2,9,4,2,1,116,4,2,96,3,1,3,4,2,2075,18725,3,Y,1,23,4,2,80,2,10,4,3,4,2,0,3
30,0,3,288,2,2,3,2,1,117,3,2,99,2,2,1,4,2,4152,15830,1,Y,1,19,3,1,80,3,11,3,3,11,10,10,8
46,1,3,669,3,9,2,4,1,118,3,2,64,2,3,8,4,3,9619,13596,1,Y,1,16,3,4,80,0,9,3,3,9,8,4,7
40,0,2,530,2,1,4,2,1,119,3,2,78,2,4,1,2,2,13503,14115,1,Y,1,22,4,4,80,1,22,3,2,22,3,11,11
51,0,3,632,3,21,4,3,1,120,3,2,71,3,2,8,4,3,5441,8423,0,Y,2,22,4,4,80,0,11,2,1,10,7,1,0
30,0,3,1334,3,4,2,4,1,121,3,1,63,2,2,8,2,1,5209,19760,1,Y,2,12,3,2,80,3,11,4,2,11,8,2,7
46,0,2,638,2,1,3,4,1,124,3,2,40,2,3,1,1,2,10673,3142,2,Y,2,13,3,3,80,1,21,5,2,10,9,9,5
32,0,3,1093,3,6,4,4,1,125,2,2,87,3,2,8,3,3,5010,24301,1,Y,1,16,3,1,80,0,12,0,3,11,8,5,7
54,0,3,1217,2,2,4,6,1,126,1,1,60,3,3,6,3,2,13549,24001,9,Y,1,12,3,1,80,1,16,5,1,4,3,0,3
24,0,3,1353,3,3,2,5,1,128,1,1,33,3,2,8,3,2,4999,17519,0,Y,1,21,4,1,80,1,4,2,2,3,2,0,2
28,0,1,120,3,4,3,4,1,129,2,2,43,3,2,8,3,2,4221,8863,1,Y,1,15,3,2,80,0,5,3,4,5,4,0,4
58,0,3,682,3,10,4,4,1,131,4,2,37,3,4,8,3,3,13872,24409,0,Y,1,13,3,3,80,0,38,1,2,37,10,1,8
44,0,1,489,2,23,3,4,1,132,2,2,67,3,2,3,2,2,2042,25043,4,Y,1,12,3,3,80,1,17,3,4,3,2,1,2
37,1,3,807,1,6,4,1,1,133,3,2,63,3,1,2,1,1,2073,23648,4,Y,2,22,4,4,80,0,7,3,3,3,2,0,2
32,0,3,827,2,1,1,2,1,134,4,2,71,3,1,7,1,3,2956,15178,1,Y,1,13,3,4,80,0,1,2,3,1,0,0,0
20,1,2,871,2,6,3,2,1,137,4,1,66,2,1,3,4,3,2926,19783,1,Y,2,18,3,2,80,0,1,5,3,1,0,1,0
34,0,3,665,2,6,4,5,1,138,1,1,41,3,2,7,3,3,4809,12482,1,Y,1,14,3,3,80,0,16,3,3,16,13,2,10
37,0,1,1040,2,2,2,2,1,139,3,2,100,2,2,1,4,1,5163,15850,5,Y,1,14,3,4,80,1,17,2,4,1,0,0,0
59,0,1,1420,1,2,4,1,1,140,3,1,32,2,5,4,4,2,18844,21922,9,Y,1,21,4,4,80,1,30,3,3,3,2,2,2
50,0,2,1115,2,1,3,2,1,141,1,1,73,3,5,6,2,2,18172,9755,3,Y,2,19,3,1,80,0,28,1,2,8,3,0,7
25,1,3,240,3,5,3,3,1,142,3,2,46,2,2,8,3,3,5744,26959,1,Y,2,11,3,4,80,0,6,1,3,6,4,0,3
25,0,3,1280,2,7,1,4,1,143,4,2,64,2,1,7,4,2,2889,26897,1,Y,1,11,3,3,80,2,2,2,3,2,2,2,1
22,0,3,534,2,15,3,4,1,144,2,1,59,3,1,3,4,3,2871,23785,1,Y,1,15,3,3,80,0,1,5,3,0,0,0,0
51,0,2,1456,2,1,4,4,1,145,1,1,30,2,3,1,1,3,7484,25796,3,Y,1,20,4,3,80,0,23,1,2,13,12,12,8
34,1,2,658,2,7,3,2,1,147,1,2,66,1,2,3,3,3,6074,22887,1,Y,2,24,4,4,80,0,9,3,3,9,7,0,6
54,0,1,142,1,26,3,1,1,148,4,1,30,4,4,4,4,3,17328,13871,2,Y,2,12,3,3,80,0,23,3,3,5,3,4,4
24,0,3,1127,2,18,1,2,1,150,2,2,52,3,1,3,3,2,2774,13257,0,Y,1,12,3,3,80,1,6,2,3,5,3,1,2
34,0,3,1031,2,6,4,2,1,151,3,1,45,2,2,7,2,1,4505,15000,6,Y,1,15,3,3,80,1,12,3,3,1,0,0,0
37,0,3,1189,3,3,3,2,1,152,3,2,87,3,3,8,4,3,7428,14506,2,Y,1,12,3,1,80,0,12,3,3,5,3,1,3
34,0,3,1354,2,5,3,4,1,153,3,1,45,2,3,4,1,3,11631,5615,2,Y,1,12,3,4,80,0,14,6,3,11,10,5,8
36,0,2,1467,3,11,2,6,1,154,2,1,92,3,3,8,4,2,9738,22952,0,Y,1,14,3,3,80,1,10,6,3,9,7,2,8
36,0,3,922,2,3,2,2,1,155,1,1,39,3,1,3,4,1,2835,2561,5,Y,1,22,4,1,80,1,7,2,3,1,0,0,0
43,0,2,394,3,26,2,2,1,158,3,2,92,3,4,4,4,2,16959,19494,1,Y,2,12,3,4,80,2,25,3,4,25,12,4,12
30,0,2,1312,2,23,3,2,1,159,1,2,96,1,1,7,3,1,2613,22310,1,Y,1,25,4,3,80,3,10,2,2,10,7,0,9
33,0,1,750,3,22,2,3,1,160,3,2,95,3,2,8,2,2,6146,15480,0,Y,1,13,3,1,80,1,8,2,4,7,7,0,7
56,1,3,441,2,14,4,2,1,161,2,1,72,3,1,7,2,2,4963,4510,9,Y,2,18,3,1,80,3,7,2,3,5,4,4,3
51,0,3,684,2,6,3,2,1,162,1,2,51,3,5,6,3,3,19537,6462,7,Y,1,13,3,3,80,0,23,5,3,20,18,15,15
31,1,3,249,3,6,4,2,1,163,2,2,76,1,2,8,3,2,6172,20739,4,Y,2,18,3,2,80,0,12,3,2,7,7,7,7
26,0,3,841,2,6,3,5,1,164,3,1,46,2,1,7,2,2,2368,23300,1,Y,1,19,3,3,80,0,5,3,2,5,4,4,3
58,1,3,147,2,23,4,4,1,165,4,1,94,3,3,1,4,2,10312,3465,1,Y,1,12,3,4,80,1,40,3,2,40,10,15,6
19,1,3,528,3,22,1,3,1,167,4,2,50,3,1,9,3,3,1675,26820,1,Y,2,19,3,4,80,0,0,2,2,0,0,0,0
22,0,3,594,2,2,1,6,1,169,3,2,100,3,1,3,4,2,2523,19299,0,Y,1,14,3,3,80,1,3,2,3,2,1,2,1
49,0,3,470,2,20,4,4,1,170,3,1,96,3,2,5,1,2,6567,5549,1,Y,1,14,3,3,80,0,16,2,2,15,11,5,11
43,0,2,957,2,28,3,4,1,171,2,1,72,4,1,7,3,3,4739,16090,4,Y,1,12,3,4,80,0,18,2,3,3,2,1,2
50,0,2,809,3,12,3,3,1,174,3,1,77,3,3,8,4,3,9208,6645,4,Y,1,11,3,4,80,0,16,3,3,2,2,2,1
31,1,3,542,3,20,3,2,1,175,2,1,71,1,2,8,3,2,4559,24788,3,Y,2,11,3,3,80,1,4,2,3,2,2,2,2
41,0,3,802,3,9,1,2,1,176,3,2,96,3,3,8,3,1,8189,21196,3,Y,2,13,3,3,80,1,12,2,3,9,7,0,7
26,0,3,1355,1,25,1,2,1,177,3,1,61,3,1,2,3,2,2942,8916,1,Y,1,23,4,4,80,1,8,3,3,8,7,5,7
36,0,3,216,2,6,2,4,1,178,2,2,84,3,2,5,2,1,4941,2819,6,Y,1,20,4,4,80,2,7,0,3,3,2,0,1
51,1,2,1150,2,8,4,2,1,179,1,2,53,1,3,5,4,3,10650,25150,2,Y,1,15,3,4,80,0,18,2,3,4,2,0,3
39,0,3,1329,3,4,4,2,1,182,4,1,47,2,2,8,3,2,5902,14590,4,Y,1,14,3,3,80,1,17,1,4,15,11,5,9
25,0,3,959,3,28,3,2,1,183,1,2,41,2,2,8,3,2,8639,24835,2,Y,1,18,3,4,80,0,6,3,3,2,2,2,2
30,0,3,1240,1,9,3,1,1,184,3,2,48,3,2,2,4,2,6347,13982,0,Y,2,19,3,4,80,0,12,2,1,11,9,4,7
32,1,3,1033,2,9,3,4,1,190,1,1,41,3,1,3,1,3,4200,10224,7,Y,1,22,4,1,80,0,10,2,4,5,4,0,4
45,0,3,1316,2,29,3,4,1,192,3,2,83,3,1,7,4,3,3452,9752,5,Y,1,13,3,2,80,0,9,2,2,6,5,0,3
38,0,3,364,2,3,5,6,1,193,4,1,32,3,2,7,3,3,4317,2302,3,Y,2,20,4,2,80,0,19,2,3,3,2,2,2
30,0,3,438,2,18,3,2,1,194,1,1,75,3,1,7,3,3,2632,23910,1,Y,1,14,3,3,80,0,5,4,2,5,4,0,4
32,0,2,689,3,9,2,4,1,195,4,2,35,1,2,8,4,1,4668,22812,0,Y,1,17,3,4,80,3,9,2,4,8,7,0,7
30,0,3,201,2,5,3,6,1,197,4,1,84,3,1,7,1,1,3204,10415,5,Y,1,14,3,4,80,1,8,3,3,3,2,2,2
30,0,3,1427,2,2,1,4,1,198,2,2,35,2,1,3,4,3,2720,11162,0,Y,1,13,3,4,80,0,6,3,3,5,3,1,2
41,0,2,857,2,10,3,2,1,199,4,2,91,2,4,4,1,1,17181,12888,4,Y,1,13,3,2,80,1,21,2,2,7,6,7,7
41,0,3,933,2,9,4,2,1,200,3,2,94,3,1,3,1,2,2238,6961,2,Y,1,21,4,4,80,1,7,2,3,5,0,1,4
19,0,3,1181,2,3,1,4,1,201,2,1,79,3,1,3,2,3,1483,16102,1,Y,1,14,3,4,80,0,1,3,3,1,0,0,0
40,0,2,1395,2,26,3,4,1,202,2,1,54,3,2,7,2,1,5605,8504,1,Y,1,11,3,1,80,1,20,2,3,20,7,2,13
35,0,3,662,3,1,5,3,1,204,3,2,94,3,3,8,2,2,7295,11439,1,Y,1,13,3,1,80,2,10,3,3,10,8,0,6
53,0,3,1436,3,6,2,3,1,205,2,2,34,3,2,9,3,2,2306,16047,2,Y,2,20,4,4,80,1,13,3,1,7,7,4,5
45,0,3,194,2,9,3,2,1,206,2,2,60,3,2,3,2,1,2348,10901,8,Y,1,18,3,3,80,1,20,2,1,17,9,0,15
32,0,2,967,3,8,3,3,1,207,2,1,43,3,3,8,4,3,8998,15589,1,Y,1,14,3,4,80,0,9,2,3,9,8,3,7
29,0,1,1496,2,1,1,6,1,208,4,2,41,3,2,5,3,2,4319,26283,1,Y,1,13,3,1,80,1,10,1,3,10,7,0,9
51,0,3,1169,2,7,4,4,1,211,2,2,34,2,2,5,3,2,6132,13983,2,Y,1,17,3,3,80,0,10,2,3,1,0,0,0
58,0,3,1145,2,9,3,4,1,214,2,1,75,2,1,7,2,2,3346,11873,4,Y,2,20,4,2,80,1,9,3,2,1,0,0,0
40,0,3,630,3,4,4,3,1,215,3,2,67,2,3,8,4,2,10855,8552,7,Y,1,11,3,1,80,1,15,2,2,12,11,2,11
34,0,2,303,3,2,4,3,1,216,3,1,75,3,1,9,3,2,2231,11314,6,Y,1,18,3,4,80,1,6,3,3,4,3,1,2
22,0,3,1256,2,19,1,4,1,217,3,2,80,3,1,7,4,2,2323,11992,1,Y,1,24,4,1,80,2,2,6,3,2,2,2,2
27,0,1,691,2,9,3,4,1,218,4,2,57,3,1,7,2,1,2024,5970,6,Y,1,18,3,4,80,1,6,1,1,2,2,2,2
28,0,3,440,2,21,3,4,1,221,3,2,42,3,1,7,4,2,2713,6672,1,Y,1,11,3,3,80,1,5,2,1,5,2,0,2
57,0,3,334,2,24,2,2,1,223,3,2,83,4,3,1,4,1,9439,23402,3,Y,2,16,3,2,80,1,12,2,1,5,3,1,4
27,0,1,1450,2,3,3,4,1,224,3,2,79,2,1,7,3,1,2566,25326,1,Y,2,15,3,4,80,1,1,2,2,1,1,0,1
50,0,3,1452,2,11,3,2,1,226,3,1,53,3,5,4,2,3,19926,17053,3,Y,1,15,3,2,80,0,21,5,3,5,4,4,4
41,0,3,465,2,14,3,2,1,227,1,2,56,3,1,7,3,1,2451,4609,4,Y,1,12,3,1,80,1,13,2,3,9,8,1,8
30,0,3,1339,3,5,3,2,1,228,2,1,41,3,3,8,4,2,9419,8053,2,Y,1,12,3,3,80,1,12,2,3,10,9,7,4
38,0,3,702,3,1,4,2,1,230,1,1,59,2,2,8,4,3,8686,12930,4,Y,1,22,4,3,80,0,12,2,4,8,3,0,7
32,0,3,120,2,6,5,2,1,231,3,2,43,3,1,7,3,3,3038,12430,3,Y,1,20,4,1,80,0,8,2,3,5,4,1,4
27,0,3,1157,2,17,3,6,1,233,3,2,51,3,1,7,2,2,3058,13364,0,Y,2,16,3,4,80,1,6,3,2,5,2,1,1
19,1,2,602,3,1,1,6,1,235,3,1,100,1,1,9,1,3,2325,20989,0,Y,1,21,4,1,80,0,1,5,4,0,0,0,0
36,0,2,1480,2,3,2,4,1,238,4,2,30,3,1,3,2,3,2088,15062,4,Y,1,12,3,3,80,0,13,3,2,8,7,7,2
30,0,1,111,2,9,3,4,1,239,3,2,66,3,2,3,1,1,3072,11012,1,Y,1,11,3,3,80,2,12,4,3,12,9,6,10
45,0,3,1268,3,4,2,2,1,240,3,1,30,3,2,8,1,1,5006,6319,4,Y,2,11,3,1,80,1,9,3,4,5,4,0,3
56,0,3,713,2,8,3,2,1,241,3,1,67,3,1,7,1,1,4257,13939,4,Y,2,18,3,3,80,1,19,3,3,2,2,2,2
33,0,3,134,2,2,3,2,1,242,3,2,90,3,1,7,4,3,2500,10515,0,Y,1,14,3,1,80,0,4,2,4,3,1,0,2
19,1,3,303,2,2,3,2,1,243,2,2,47,2,1,3,4,3,1102,9241,1,Y,1,22,4,3,80,0,1,3,2,1,0,1,0
46,0,3,526,3,1,2,3,1,244,2,1,92,3,3,8,1,1,10453,2137,1,Y,1,25,4,3,80,3,24,2,3,24,13,15,7
38,0,3,1380,2,9,2,2,1,245,3,1,75,3,1,3,4,3,2288,6319,1,Y,1,12,3,3,80,0,2,3,3,2,2,2,1
31,0,3,140,2,12,1,4,1,246,3,1,95,3,1,7,4,2,3929,6984,8,Y,2,23,4,3,80,1,7,0,3,4,2,0,2
34,0,3,629,2,27,2,4,1,247,4,1,95,3,1,7,2,3,2311,5711,2,Y,1,15,3,4,80,0,9,3,3,3,2,1,2
41,1,3,1356,3,20,2,3,1,248,2,1,70,3,1,9,2,3,3140,21728,1,Y,2,22,4,4,80,0,4,5,2,4,3,0,2
